"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
84;"C37,C36";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220p";;;
85;"C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"33n";;;
86;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"732k";;;
87;"U2";"SOT-666";1;"USBLC6-2P6";;;
88;"U6";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
89;"C27,C90,C89,C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"9p";;;
90;"D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"ANT_LED";;;
91;"AE3";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_CC1101B_SMA";;;
92;"U5";"Vishay_MINICAST-3Pin";1;"TSOP382xx";;;
93;"AE8";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Antenna_Wi-Fi_TBAR";;;
94;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
95;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22";;;
96;"R18,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22R";;;
97;"C106,C120";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7u";;;
98;"Y2";"XTAL_7M-27.120MAAJ-T";1;"16M";;;
99;"CR1";"SDO_SOD-123FL498_OSI";1;"MBR120";;;
100;"TP7";"TestPoint_Pad_D1.0mm";1;"RX";;;
101;"Y1,Y4";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";2;"26MHz";;;
102;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"50";;;
103;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Power_LED";;;
104;"AE4";"XDCR_ANT-433-HESM";1;"Antenna_CC1101B_PCB";;;
105;"R42,R30,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"330";;;
106;"R28,R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.5";;;
107;"C75,C50";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
108;"U10";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"nRF24L01P";;;
109;"FB3";"BEADC2012X145N";1;"FerriteBead_Small";;;
110;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"SD_ACT_LED";;;
111;"Q1";"SOT95P240X105-3N";1;"DMG3415U";;;
112;"C51";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1p";;;
113;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse 1A";;;
114;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Charging_LED";;;
115;"C7";"CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder";1;"4u7";;;
116;"J5";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"PN532_Antenna_Coax";;;
117;"U8";"SOIC-16_3.9x9.9mm_P1.27mm";1;"4050";;;
118;"D1";"D_SOD-523";1;"1N4148WT";;;
119;"Q3";"SOT-363_SC-70-6";1;"UMH3N";;;
120;"AE1";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_CC1101A_SMA";;;
121;"AE7";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_Wi-Fi_SMA";;;
122;"SCREEN1";"4.0_TFT_Display";1;"~";;;
123;"J9";"PinSocket_1x12_P1.27mm_Vertical";1;"Conn_01x12";;;
124;"TP4";"TestPoint_Pad_D1.0mm";1;"TX1_POST";;;
125;"C117";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
126;"U12";"RFX2401C_SKY";1;"RFX2401C";;;
127;"AE2";"XDCR_ANT-433-HESM";1;"Antenna_CC1101A_PCB";;;
128;"J7";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Wi-Fi_ANT_Coax";;;
129;"L6";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3.9n";;;
130;"AE6";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Antenna_NRF24_IPEX";;;
131;"AE5";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"Antenna_NRF24_SMA";;;
